Sexe, Judete, Localitati , Perioade, UM: Numar persoane, Valoare
Total, Satu Mare, TOTAL, Anul 2020, Numar persoane, 5458
Total, Satu Mare, TOTAL, Anul 2021, Numar persoane, 4597
Total, Salaj, TOTAL, Anul 2019, Numar persoane, 4339
Total, Salaj, TOTAL, Anul 2020, Numar persoane, 5419
Total, Salaj, TOTAL, Anul 2021, Numar persoane, 4352
Total, Sibiu, TOTAL, Anul 2019, Numar persoane, 3456
Total, Sibiu, TOTAL, Anul 2020, Numar persoane, 5496
Total, Sibiu, TOTAL, Anul 2021, Numar persoane, 3672
Total, Suceava, TOTAL, Anul 2019, Numar persoane, 11031
Total, Suceava, TOTAL, Anul 2020, Numar persoane, 11804
Total, Suceava, TOTAL, Anul 2021, Numar persoane, 10401
Total, Teleorman, TOTAL, Anul 2019, Numar persoane, 8825
Total, Teleorman, TOTAL, Anul 2020, Numar persoane, 9151
Total, Teleorman, TOTAL, Anul 2021, Numar persoane, 8640
Total, Timis, TOTAL, Anul 2019, Numar persoane, 2775
Total, Timis, TOTAL, Anul 2020, Numar persoane, 4446
Total, Timis, TOTAL, Anul 2021, Numar persoane, 2592
Total, Tulcea, TOTAL, Anul 2019, Numar persoane, 2906
Total, Tulcea, TOTAL, Anul 2020, Numar persoane, 2520
Total, Tulcea, TOTAL, Anul 2021, Numar persoane, 2268
Total, Vaslui, TOTAL, Anul 2019, Numar persoane, 10024
Total, Vaslui, TOTAL, Anul 2020, Numar persoane, 9770
Total, Vaslui, TOTAL, Anul 2021, Numar persoane, 9153
Total, Valcea, TOTAL, Anul 2019, Numar persoane, 4560
Total, Valcea, TOTAL, Anul 2020, Numar persoane, 5795
Total, Valcea, TOTAL, Anul 2021, Numar persoane, 4830
Total, Vrancea, TOTAL, Anul 2019, Numar persoane, 4947
Total, Vrancea, TOTAL, Anul 2020, Numar persoane, 5698
Total, Vrancea, TOTAL, Anul 2021, Numar persoane, 5211
Total, Municipiul Bucuresti, TOTAL, Anul 2019, Numar persoane, 15248
Total, Municipiul Bucuresti, TOTAL, Anul 2020, Numar persoane, 15251
Total, Municipiul Bucuresti, TOTAL, Anul 2021, Numar persoane, 14004
